player_name,player_total_WPA,player_avg_WPA,player_total_WPA_weighted,player_leverage_index,games_played,player_event_count
Collins,5.869414900468347,0.002330057523012444,5.869414900468347,1.2801600427553608,109,2519
Harden,5.345056833706616,0.001678196808071151,5.345056833706616,1.2945750468075472,89,3185
Booker,4.711899383628649,0.0016208804209248877,4.711899383628649,1.2913557302792649,78,2907
Williams,4.1839005474205155,0.0003958278663595568,4.1839005474205155,1.2843686579221292,379,10570
Dončić,4.023534885721488,0.0017639346276727258,4.023534885721488,1.2766067727132897,50,2281
Looney,3.842149481434373,0.0027701149830096417,3.842149481434373,1.2854017077949746,91,1387
Brooks,3.811552384295465,0.001872078774211918,3.811552384295465,1.2976071018567819,84,2036
Agbaji,3.8107153135586804,0.0030806106010983674,3.8107153135586804,1.2950389117371748,67,1237
Dunn,3.602337460967179,0.0013507077093990172,3.602337460967179,1.2929135157251674,160,2667
Queta,3.5337151656391783,0.0042626238427493105,3.5337151656391783,1.300058181223083,65,829
Toppin,3.472774966615348,0.0017664165649111639,3.472774966615348,1.2824967545595953,119,1966
Thompson,3.397705002645572,0.0005681780940878883,3.397705002645572,1.2938887342783794,255,5980
Martin,3.327346405632406,0.0008868194044862489,3.327346405632406,1.289281508644914,199,3752
Reaves,3.2255819013978937,0.00137258804314804,3.2255819013978937,1.2800704144478614,75,2350
Robinson-Earl,3.1253573397022314,0.0031284858255277593,3.1253573397022314,1.2770036642390465,67,999
Marshall,2.968896974363162,0.0017331564357052902,2.968896974363162,1.29930144484342,75,1713
Kuminga,2.9403343319161834,0.0019576127376272857,2.9403343319161834,1.2843434742996345,56,1502
Diabaté,2.8750191074156835,0.0025131285903983247,2.8750191074156835,1.2919331341769003,73,1144
Antetokounmpo,2.7696556170054336,0.000755291959914217,2.7696556170054336,1.2954736052414,73,3667
Evbuomwan,2.7059986053941545,0.004714283284658806,2.7059986053941545,1.2732146420074464,30,574
Strawther,2.654192303980515,0.0020591096229484215,2.654192303980515,1.2773410926372983,77,1289
Henderson,2.6304668387277563,0.0015427957998403264,2.6304668387277563,1.2802113919605502,70,1705
Conley,2.602799583866448,0.001986869911348434,2.602799583866448,1.2946520246672446,78,1310
Gobert,2.518982865714126,0.0010971179728720061,2.518982865714126,1.298807737810714,79,2296
Juzang,2.5031214462389983,0.0024255052773633707,2.5031214462389983,1.2790097758490395,66,1032
Capela,2.4305652919342196,0.0018261196783878435,2.4305652919342196,1.2838841861995829,58,1331
Wilson,2.4184464001594543,0.0015453331630411848,2.4184464001594543,1.2893930789065962,82,1565
Barlow,2.280631030615318,0.006479065427884426,2.280631030615318,1.268995964115106,35,352
Kolek,2.1241923396331583,0.007896625797892782,2.1241923396331583,1.3088932188490146,43,269
Suggs,2.0961782231982076,0.0018816680639122151,2.0961782231982076,1.291192457155318,38,1114
Miller,2.0816358804419677,0.0013840664098683296,2.0816358804419677,1.3085427645877434,90,1504
Prince,2.0052634402123948,0.0014405628162445364,2.0052634402123948,1.2950640533582767,87,1392
Dick,1.9908488706614995,0.0013739467706428568,1.9908488706614995,1.2933193414984439,57,1449
Dort,1.944409792613029,0.0011608416672316592,1.944409792613029,1.280800525714333,86,1675
Huerter,1.9421852593173778,0.0015537482074539023,1.9421852593173778,1.2850733465081068,70,1250
Porter Jr.,1.9011901255839172,0.0003969910473134093,1.9011901255839172,1.2869608990034909,228,4789
Young,1.89576870396589,0.0006037479948935955,1.89576870396589,1.3085570764456624,88,3140
LaVine,1.827221601116922,0.0007409657749865864,1.827221601116922,1.298855974673344,79,2466
Tatum,1.7904647722978027,0.0005164305659930207,1.7904647722978027,1.2909036347182432,84,3467
Middleton,1.7892606300470275,0.002305748234596685,1.7892606300470275,1.3055579321566562,37,776
Mitchell,1.761946312049435,0.00035288329902852695,1.761946312049435,1.2858720221739475,203,4993
Olynyk,1.7518976254130743,0.0019336618382042763,1.7518976254130743,1.2807424335657265,44,906
Holiday,1.7441293718109006,0.0008373160690402788,1.7441293718109006,1.2948367223308117,136,2083
Sexton,1.722490895981383,0.00091524489690828,1.722490895981383,1.2866896568139674,67,1882
Tyson,1.6857183837984175,0.0018243705452363826,1.6857183837984175,1.3025626991042414,106,924
Moody,1.6823178809688348,0.0011428789952233932,1.6823178809688348,1.2846391188483461,88,1472
Hawkins,1.6711350501700888,0.0014920848662232935,1.6711350501700888,1.2754005815351939,59,1120
George,1.6582883666588664,0.00035777526788756555,1.6582883666588664,1.285776243048929,184,4635
Bogdanović,1.649541475672066,0.0013803694357088418,1.649541475672066,1.2981320646580494,62,1195
Murray,1.5596482589607106,0.00023605997562595892,1.5596482589607106,1.290551293252099,259,6607
Post,1.5574190099028993,0.0018518656479225913,1.5574190099028993,1.2799074999321116,57,841
Wesley,1.5510035827435311,0.002899072117277628,1.5510035827435311,1.2818943015597362,62,535
Carton,1.5176848095126592,0.030353696190253184,1.5176848095126592,1.3469520994606758,7,50
Buzelis,1.5054043603567218,0.001056424112531033,1.5054043603567218,1.2763532676471803,85,1425
Sochan,1.478463807852568,0.0010682541964252658,1.478463807852568,1.2814544099469585,58,1384
Shamet,1.4761521294642475,0.0025147395731929256,1.4761521294642475,1.2847586344363258,64,587
Reeves,1.475690593786698,0.002981193118761006,1.475690593786698,1.2876807429839177,46,495
James,1.4678613773966107,0.0004935646864144622,1.4678613773966107,1.2859748432268714,77,2974
DeRozan,1.4599690795287323,0.0005427394347690455,1.4599690795287323,1.3083982335059552,83,2690
Landale,1.44790198598266,0.0031204784180660777,1.44790198598266,1.2834384904026623,42,464
